record_id	source_product	source_version	source_path	surface_family	capability	owning_process_or_service	authority_type	current_Pepper_owner	state_read	state_written	credential_interaction	filesystem_interaction	process_interaction	network_interaction	update_interaction	deployment_interaction	overlap_classification	adoption_disposition	required_boundary	required_action	owner_ticket	evidence_status	blocker	notes
P15M4-00021	Hermes_Desktop	Desktop_0.17.0_in_Hermes_Agent_0.19.0	2_products/pepper-agent/apps/desktop/electron/session-windows.ts	desktop_renderer_windows	chat BrowserWindow webPreferences with preload, contextIsolation, webviewTag, sandbox and nodeIntegration false	Electron_renderer_window	browser_hardening_authority	Pepper_P13_retained	reads_renderer_session_route_state	writes_renderer_window_state	no_direct_credential_interaction	no_filesystem_interaction_in_this_row	creates_secondary_windows_when_run	renders_local_or_dev_URL_when_run	no_update_interaction	no_deployment_interaction	reference_for_future_enhancement	defer_pending_security_review	BrowserWindow_and_webview_security_review_required	audit renderer isolation and webview policy	P15.M7	parsed	security_review_required	evidence_lines=13-33
P15M4-00022	Hermes_Desktop	Desktop_0.17.0_in_Hermes_Agent_0.19.0	2_products/pepper-agent/apps/desktop/electron/preload.ts	desktop_preload_ipc	preload bridge exposes backend connection OAuth cloud profile API notification file and preview IPC	Electron_preload_bridge	ipc_capability_authority	Pepper_P13_retained	reads_renderer_requests	writes_IPC_results_to_renderer	OAuth_and_remote_auth_IPC_exposed	file_preview_and_clipboard_IPC_exposed	backend_touch_and_window_IPC_exposed	gateway_URL_and_cloud_IPC_exposed	no_update_interaction_in_this_row	no_deployment_interaction	unsafe_authority_rejected	defer_pending_security_review	IPC_capability_audit_required	no Desktop enablement before IPC allowlist governance	P15.M7	parsed	desktop_IPC_authority_not_governed	evidence_lines=3-67
P15M4-00023	Hermes_Desktop	Desktop_0.17.0_in_Hermes_Agent_0.19.0	2_products/pepper-agent/apps/desktop/electron/backend-command.ts	desktop_local_connection	serve backend args on 127.0.0.1 with ephemeral port	Electron_main_process	local_backend_process_authority	P14_Runtime_Adapter	reads_profile_argument	no_P15M4_state_written	backend_session_token_created_elsewhere	no_filesystem_interaction_in_this_row	would_spawn_headless_Hermes_backend_when_enabled	loopback_gateway_HTTP_WebSocket	no_update_interaction	local_client_deployment_reference	backend_adapter_candidate	defer_pending_runtime_governance	P14_process_env_readiness_shutdown_boundary_required	map backend spawn to runtime adapter before use	P15.M7	parsed	desktop_process_authority_not_governed	evidence_lines=18-22
P15M4-00024	Hermes_Desktop	Desktop_0.17.0_in_Hermes_Agent_0.19.0	2_products/pepper-agent/apps/desktop/electron/main.ts	desktop_backend_spawn	spawn Hermes backend with HERMES_HOME token readiness and web dist environment	Electron_main_process	process_spawn_authority	P14_Runtime_Adapter	reads_HERMES_HOME_backend_args_and_profile	would_write_logs_and_ready_file_when_run	uses_dashboard_session_token_env_when_run	reads_runtime_paths_and_web_dist	would_spawn_Hermes_child_process_when_enabled	local_gateway_connection	no_update_interaction_in_this_row	local_client_deployment_reference	unsafe_authority_rejected	defer_pending_runtime_governance	process_and_environment_boundary_required	keep disabled until P14 migration	P15.M7	parsed	desktop_process_authority_not_governed	evidence_lines=7079-7106
P15M4-00025	Hermes_Desktop	Desktop_0.17.0_in_Hermes_Agent_0.19.0	2_products/pepper-agent/apps/desktop/README.md	desktop_connection_modes	managed local backend explicit remote gateways and Hermes Cloud connections	Electron_main_and_renderer	connection_mode_authority	P15_Credential_Boundary	reads_connection_mode_and_gateway_status	writes_connection_switch_state_when_run	remote_credentials_possible_but_not_read_here	no_filesystem_interaction_in_this_row	may_switch_backend_process_or_remote_target	remote_gateway_and_cloud_network_paths	no_update_interaction	local_and_remote_client_topology_reference	backend_adapter_candidate	future_governed_local_client	connection_profile_and_backend_boundary_required	model as future client only	P15.M8	parsed	credential_and_connection_boundary_required	evidence_lines=131-146
P15M4-00026	Hermes_Desktop	Desktop_0.17.0_in_Hermes_Agent_0.19.0	2_products/pepper-agent/apps/desktop/electron/connection-config.ts	desktop_token_oauth_ticket	remote gateway token headers OAuth cookies and WebSocket ticket URLs	Electron_main_process	credential_transport_authority	P15_Credential_Boundary	reads_remote_base_URL_auth_mode_and_token	no_P15M4_state_written	static_token_and_OAuth_cookie_ticket_modes	no_filesystem_interaction_in_this_row	no_process_interaction_in_this_row	HTTP_and_WebSocket_auth_paths	no_update_interaction	remote_client_topology_reference	unsafe_authority_rejected	defer_pending_security_review	OAuth_and_token_boundary_required	no OAuth or credential read in P15.M4	P15.M8	parsed	credential_boundary_required	evidence_lines=12-18,75-149
P15M4-00027	Hermes_Desktop	Desktop_0.17.0_in_Hermes_Agent_0.19.0	2_products/pepper-agent/apps/desktop/electron/main.ts	desktop_cloud_oauth	cloud silent sign-in requires live portal session and gateway session cookie	Electron_main_process	cloud_auth_authority	P15_Credential_Boundary	would_read_cookie_session_state_when_run	would_write_Electron_cookie_session_when_run	OAuth_cookie_and_portal_session_interaction	no_filesystem_interaction_in_this_row	opens_OAuth_window_when_run	portal_and_gateway_network_paths	no_update_interaction	remote_client_topology_reference	unsafe_authority_rejected	defer_pending_security_review	OAuth_flow_governance_required	no OAuth flow in P15.M4	P15.M8	parsed	OAuth_unauthorized_now	evidence_lines=5960-5979
P15M4-00028	Hermes_Desktop	Desktop_0.17.0_in_Hermes_Agent_0.19.0	2_products/pepper-agent/apps/desktop/electron/main.ts	desktop_profiles_state	connection, updates, window-state and active-profile JSON under Electron userData	Electron_main_process	local_state_authority	P13_Safe_Settings_and_P15_Credential_Boundary	reads_desktop_userData_JSON	writes_connection_updates_window_profile_JSON	remote_token_may_be_stored_encrypted	reads_and_writes_Electron_userData_files	profile_switch_may_change_backend_args	connection_state_controls_local_or_remote_network_target	update_config_path_present	local_client_state_topology_reference	unsafe_authority_rejected	future_governed_local_client	profile_and_state_store_boundary_required	prevent cross-profile bleed and shared-state ambiguity	P15.M8	parsed	desktop_state_authority_not_governed	evidence_lines=502-511,6065-6129
P15M4-00029	Hermes_Desktop	Desktop_0.17.0_in_Hermes_Agent_0.19.0	2_products/pepper-agent/apps/desktop/electron/hardening.ts	desktop_safeStorage_tokens	remote token persistence requires Electron safeStorage encryption or failure	Electron_main_process	credential_store_authority	P15_Credential_Boundary	reads_token_value_when_saving	writes_safeStorage_encrypted_token_blob	remote_gateway_token_storage	no_filesystem_interaction_beyond_connection_config	no_process_interaction	no_network_interaction_in_this_row	no_update_interaction	local_client_credential_topology_reference	unsafe_authority_rejected	defer_pending_security_review	credential_store_policy_required	keep as pattern only until P15.M8	P15.M8	parsed	credential_boundary_required	evidence_lines=26-60
P15M4-00030	Hermes_Desktop	Desktop_0.17.0_in_Hermes_Agent_0.19.0	2_products/pepper-agent/apps/desktop/electron/hardening.ts	desktop_sensitive_file_hardening	blocks SSH GPG AWS .env key cert npm netrc and pypirc sensitive reads	Electron_main_process	filesystem_guard_reference	P14_Runtime_Adapter	reads_candidate_file_path	no_state_written	protects_credential_files_by_denying_reads	filesystem_path_blocking_policy	no_process_interaction	no_network_interaction	no_update_interaction	no_deployment_interaction	reference_for_future_enhancement	defer_pending_security_review	filesystem_policy_review_required	reuse only after IPC and file-read governance	P15.M7	parsed	filesystem_authority_not_governed	evidence_lines=62-108
P15M4-00031	Hermes_Desktop	Desktop_0.17.0_in_Hermes_Agent_0.19.0	2_products/pepper-agent/apps/desktop/electron/main.ts	desktop_filesystem_preview	IPC handlers read file data URLs and text previews with byte caps	Electron_main_process	filesystem_read_authority	P14_Runtime_Adapter	reads_selected_host_files	returns_file_content_to_renderer	may_block_credential_files_through_hardening	reads_host_filesystem	no_process_interaction	no_network_interaction	no_update_interaction	local_client_filesystem_reference	unsafe_authority_rejected	defer_pending_security_review	file_capability_allowlist_required	no Desktop filesystem authority now	P15.M7	parsed	filesystem_authority_not_governed	evidence_lines=8464-8503
P15M4-00032	Hermes_Desktop	Desktop_0.17.0_in_Hermes_Agent_0.19.0	2_products/pepper-agent/apps/desktop/electron/preload.ts	desktop_git_filesystem_ipc	readDir writeText trash Git worktree review stage commit push and PR IPC	Electron_preload_bridge	git_filesystem_authority	Pepper_Git_Boundary	reads_repo_and_path_state	would_write_files_git_index_commits_or_pushes_when_run	no_credential_read_but_Git_remote_auth_may_be_triggered_if_misused	broad_host_filesystem_and_repo_interaction	Git_processes_may_be_invoked_by_main_handlers	possible_remote_Git_network_if_enabled	no_update_interaction_in_this_row	local_client_development_topology_reference	unsafe_authority_rejected	defer_pending_security_review	frontend_Git_authority_prohibited_until_governed	no Git authority granted by P15.M4	P15.M18	parsed	Git_authority_not_governed	evidence_lines=107-137
P15M4-00033	Hermes_Desktop	Desktop_0.17.0_in_Hermes_Agent_0.19.0	2_products/pepper-agent/apps/desktop/electron/preload.ts	desktop_terminal_ipc	terminal lifecycle resize write and event IPC channels	Electron_preload_bridge	terminal_ipc_authority	P14_Runtime_Adapter	reads_terminal_session_ID_and_input	would_write_terminal_session_state_when_run	no_credential_interaction	terminal_cwd_filesystem_context	terminal_process_control_via_IPC	no_network_interaction	no_update_interaction	local_client_terminal_topology_reference	unsafe_authority_rejected	defer_pending_runtime_governance	terminal_capability_boundary_required	no Desktop terminal authority now	P15.M7	parsed	terminal_authority_not_governed	evidence_lines=140-160
P15M4-00034	Hermes_Desktop	Desktop_0.17.0_in_Hermes_Agent_0.19.0	2_products/pepper-agent/apps/desktop/electron/main.ts	desktop_node_pty_spawn	node-pty shell spawn with cwd env cols rows and xterm name	Electron_main_process	process_spawn_authority	P14_Runtime_Adapter	reads_terminal_cwd_and_shell_env	would_write_terminal_session_map_when_run	credentials_in_environment_must_be_controlled	terminal_cwd_and_shell_filesystem_access	spawns_shell_process	no_network_interaction_by_default	no_update_interaction	local_client_terminal_topology_reference	unsafe_authority_rejected	defer_pending_runtime_governance	local_shell_containment_required	no PTY execution in P15.M4	P15.M7	parsed	terminal_process_authority_not_governed	evidence_lines=9109-9124
P15M4-00035	Hermes_Desktop	Desktop_0.17.0_in_Hermes_Agent_0.19.0	2_products/pepper-agent/apps/desktop/src/contrib/runtime-loader.ts	desktop_runtime_plugins	runtime ESM plugin loader from disk with integrity but no sandbox	Desktop_renderer	plugin_code_authority	Pepper_Plugin_Boundary	reads_plugin_source_bytes	loads_plugin_registrations_in_renderer	plugins_can_access_host_request_and_storage	loads_plugins_from_HERMES_HOME_desktop_plugins	plugin_code_executes_in_renderer_realm	plugins_may_call_gateway_RPC	no_update_interaction	local_client_plugin_topology_reference	unsafe_authority_rejected	defer_pending_security_review	plugin_sandbox_or_local_trust_policy_required	do not reuse as product extension boundary	P15.M5	parsed	plugin_authority_not_sandboxed	evidence_lines=1-28
P15M4-00036	Hermes_Desktop	Desktop_0.17.0_in_Hermes_Agent_0.19.0	2_products/pepper-agent/apps/desktop/electron/main.ts	desktop_updater	staged updater binary owns repo mutation update and desktop rebuild handoff	Electron_main_process_and_updater_binary	update_authority	Pepper_Update_Governance	reads_HERMES_HOME_updater_binary_and_update_config	would_write_repo_runtime_and_desktop_build_outputs_when_run	may_require_signing_or_release_credentials_later	mutates_local_install_tree_when_run	spawns_updater_or_update_process_when_run	may_contact_upstream_or_Git_remote_when_update_runs	updates_runtime_and_GUI_when_authorized_later	local_client_update_topology_reference	unsafe_authority_rejected	defer_pending_deployment_governance	update_provenance_and_rollback_boundary_required	no updater execution or authority in P15.M4	P15.M18	parsed	update_authority_not_governed	evidence_lines=2343-2349
P15M4-00037	Hermes_Desktop	Desktop_0.17.0_in_Hermes_Agent_0.19.0	2_products/pepper-agent/apps/desktop/README.md	desktop_installers	installer build commands and signing environment requirements	Electron_builder_and_release_process	installer_distribution_authority	Pepper_Update_Governance	reads_build_inputs_when_run	would_write_installers_and_release_artifacts_when_run	signing_credentials_named_but_not_read_here	packages_files_when_run	spawns_build_tools_when_run	may_upload_release_artifacts_when_manual_release_occurs	installer_update_lifecycle	macOS_Windows_Linux_targets	reference_for_future_enhancement	defer_pending_deployment_governance	signed_installer_release_boundary_required	defer until update and rollback acceptance	P15.M18	parsed	installer_distribution_not_governed	evidence_lines=77-87
P15M4-00038	Hermes_Workspace	Workspace_2.3.0	0_architecture/governance/agent_platform_hermes_0_19_workspace_source_lock.md	workspace_source_identity	exact ignored source identity for Workspace 2.3.0	ignored_source_root	source_lock_authority	Pepper_P13_retained	reads_source_lock_record	no_state_written	no_credential_interaction	ignored_source_files_read_only	no_process_interaction	no_network_interaction_after_acquisition	no_update_interaction	no_deployment_interaction	adjacent_surface_candidate	reference_only	source_must_remain_ignored_and_untracked	preserve source-lock-backed identity without import	P15.M4	source_lock_backed	none	evidence_lines=237-271
P15M4-00039	Hermes_Workspace	Workspace_2.3.0	.gitignore	workspace_ignore_boundary	4_external/sources ignored with zero tracked Workspace files	ignored_source_root	Git_ignore_boundary	Pepper_Git_Boundary	reads_ignore_rules	no_state_written	no_credential_interaction	Workspace_root_untracked_and_ignored	no_process_interaction	no_network_interaction	no_update_interaction	no_deployment_interaction	adjacent_surface_candidate	reference_only	Workspace_must_not_be_force_added	keep ignored reference-only source	P15.M4	validated	none	evidence_lines=16
P15M4-00040	Hermes_Workspace	Workspace_2.3.0	4_external/sources/hermes-workspace-v2.3.0/package.json	workspace_package_identity	private hermes-workspace package version 2.3.0 with MIT license	Workspace_package_manifest	package_manifest_authority	Pepper_P13_retained	reads_package_metadata	no_state_written_by_P15M4	no_credential_interaction	no_filesystem_interaction	no_process_interaction	no_network_interaction	no_update_interaction	no_deployment_interaction	adjacent_surface_candidate	reference_only	package_identity_reference_only	no import or package install	P15.M4	parsed	none	evidence_lines=2-8
P15M4-00041	Hermes_Workspace	Workspace_2.3.0	4_external/sources/hermes-workspace-v2.3.0/package.json	workspace_scripts	Vite build start managed smoke playground websocket lint format check and Electron build scripts	Workspace_package_scripts	build_and_runtime_script_authority	Pepper_P13_retained	would_read_source_and_dependencies_when_run	would_write_build_outputs_when_run	may_read_env_when_start_scripts_run_but_not_here	would_use_workspace_source_tree_when_run	would_spawn_node_vite_electron_when_run	playground_websocket_script_present	no_update_interaction	development_and_package_execution_reference	adjacent_surface_candidate	defer_pending_dependency_review	install_build_start_forbidden_until_dependency_review	no scripts executed	P15.M3	parsed	dependency_review_required	evidence_lines=10-28
P15M4-00042	Hermes_Workspace	Workspace_2.3.0	4_external/sources/hermes-workspace-v2.3.0/src/routes/__root.tsx	workspace_shell_root	TanStack root route, metadata, manifest, shell component and root layout	Workspace_TanStack_app	shell_route_authority	Pepper_P13	reads_workspace_router_state	writes_workspace_UI_state_when_run	no_direct_credential_interaction	no_filesystem_interaction_in_this_row	no_process_interaction	serves_workspace_shell_when_run	no_update_interaction	PWA_and_web_shell_reference	adjacent_surface_candidate	future_adjacent_operations_surface	no_shell_replacement_boundary	no Workspace shell import or replacement	P15.M5	parsed	Workspace_shell_authority_not_governed	evidence_lines=117-190
P15M4-00043	Hermes_Workspace	Workspace_2.3.0	4_external/sources/hermes-workspace-v2.3.0/src/components/workspace-shell.tsx	workspace_navigation	dashboard chat files terminal jobs swarm memory skills MCP profiles settings mobile tab map	Workspace_TanStack_app	navigation_authority	Pepper_P13	reads_pathname_and_session_state	writes_sidebar_mobile_navigation_state	no_direct_credential_interaction	no_filesystem_interaction_in_this_row	no_process_interaction	fetches_auth_and_connection_status_when_run	no_update_interaction	mobile_workspace_shell_reference	adjacent_surface_candidate	reference_only	P13_navigation_must_remain_authority	use as route inventory only	P15.M5	parsed	Workspace_navigation_not_Pepper_authority	evidence_lines=94-108
