record_id	source_product	source_version	source_path	surface_family	surface_type	surface_name	route_or_command	current_authority_type	current_Pepper_owner	equivalent_Pepper_surface	data_or_state_read	data_or_state_written	credential_interaction	provider_interaction	filesystem_interaction	process_interaction	network_interaction	approval_interaction	update_interaction	deployment_interaction	risk_classification	overlap_classification	disposition	required_backend_contract	required_security_boundary	required_approval_boundary	required_redaction	required_action	destination_surface	owner_ticket	priority	evidence_status	blocker	acceptance_criteria	notes
WEB_001	Hermes Web Dashboard	0.19.0	2_products/pepper-agent/web/src/App.tsx:133-201	shell	web_route	Web dashboard shell and navigation	/, /sessions, /files, /models, /cron, /skills, /plugins, /mcp, /system	upstream_reference_only	Pepper P13 shell	P13 shell and navigation	built-in route list and plugin nav	local sidebar collapsed preference	none	none	none	none	API route navigation	none	none	none	read_only_low_risk	partial_overlap	reference_only	Pepper-owned route registry required	protected namespace required	not_applicable	not_applicable	compare route-by-route only	P13 shell	P15.M6	medium	static_evidence_path_line	P13 protected namespace	No wholesale replacement	Useful nav density reference only.
WEB_002	Hermes Web Dashboard	0.19.0	2_products/pepper-agent/web/src/App.tsx:284-344	navigation	web_route	Plugin-provided dashboard routes	plugin tab paths	upstream_reference_only	Pepper P13 route registry	P13 extension descriptor registry	plugin manifests	plugin route ownership	none	none	none	none	API plugin manifest load	none	none	none	plugin_or_code_loading	authority_conflict	reject_authority_conflict	Pepper descriptor registration only	plugin capability review required	not_applicable	not_applicable	reject dashboard plugin route authority	P13 extension registry	P15.M18	deferred	static_evidence_path_line	plugin route override authority	Dashboard plugin routes cannot own /agent-platform routes	P13 static descriptors remain authoritative.
WEB_003	Hermes Web Dashboard	0.19.0	2_products/pepper-agent/web/src/pages/ChatPage.tsx:920-934	chat	web_panel	Dashboard PTY chat host	/chat	rejected_authority	Pepper P14 runtime authority	P13 Runtime Overview and future governed chat	PTY stream and session transcript	terminal input to backend	none	provider selected through backend	none	PTY child attach	WebSocket or PTY API	none	none	none	terminal_or_PTY	unsafe_capability_overlap	reject_unsafe_capability	governed chat runtime adapter required	terminal prohibited until containment	require approval for tool execution	redact raw tool internals	reject direct PTY import	future governed chat surface	P15.M7	high	static_evidence_path_line	terminal authority	No direct PTY surface accepted	Patterns may inform future governed chat only.
WEB_004	Hermes Web Dashboard	0.19.0	2_products/pepper-agent/web/src/pages/SessionsPage.tsx	sessions	web_route	Dashboard sessions	/sessions	upstream_reference_only	Pepper backend state authority	P13 Projects and Execution Inspector	session list and metadata	session selection and management	none	none	none	none	API session endpoints	none	none	none	bounded_state_change	partial_overlap	selectively_forward_port	read-only session projection contract	no direct transcript mutation	not_applicable	redact unauthorized transcript content	queue navigation pattern only	P13 Projects and Execution Inspector	P15.M7	medium	static_evidence_path_line	backend session contract missing	Accepted when session projection is read-only and redacted	Session navigation pattern is useful.
WEB_005	Hermes Web Dashboard	0.19.0	2_products/pepper-agent/web/src/pages/FilesPage.tsx:167-252	files	web_route	Dashboard files	/files	upstream_reference_only	Pepper backend artifact authority	bounded artifact projection	file tree and file content	file create rename edit delete possible	none	none	filesystem read and write	none	API filesystem endpoints	none	none	none	filesystem_write	unsafe_capability_overlap	reject_unsafe_capability	allowlisted artifact API required	path containment and size limits required	require approval for writes	redact credential paths	reject direct file manager	bounded artifact browser	P15.M7	high	static_evidence_path_line	unbounded filesystem mutation	No direct file mutation authority	Only bounded artifact API may be reconsidered.
WEB_006	Hermes Web Dashboard	0.19.0	2_products/pepper-agent/web/src/pages/ModelsPage.tsx	models	web_route	Dashboard models	/models	upstream_reference_only	Pepper P15 provider authority	future provider status UI	model list and availability	model selection or config possible	none	provider model interaction	none	none	API model endpoints	none	none	none	provider_interaction	backend_contract_overlap	defer_pending_provider_governance	provider profile projection contract	no provider secret visibility	not_applicable	redact provider credentials	defer model selector	P15 provider surfaces	P15.M8	high	static_evidence_path_line	provider governance pending	No direct provider authority	Read-only model status may be queued later.
WEB_007	Hermes Web Dashboard	0.19.0	2_products/pepper-agent/web/src/pages/AnalyticsPage.tsx	usage	web_route	Dashboard analytics and usage	/analytics	upstream_reference_only	Pepper audit authority	future usage projection	usage and token analytics	none	none	provider cost context possible	none	none	API analytics endpoints	none	none	none	read_only_low_risk	richer_upstream_reference	selectively_forward_port	usage projection contract	redacted cost and provider fields	not_applicable	redact provider identifiers when required	queue usage presentation pattern	P13 Runtime Overview	P15.M8	low	static_evidence_path_line	redaction rules missing	Accept only as read-only redacted usage projection	Useful for status and cost awareness.
WEB_008	Hermes Web Dashboard	0.19.0	2_products/pepper-agent/web/src/pages/LogsPage.tsx	diagnostics	web_route	Dashboard logs	/logs	upstream_reference_only	Pepper audit authority	future diagnostics projection	logs and diagnostic events	none	none	none	filesystem read of logs possible	none	API log endpoints	none	none	none	filesystem_read	backend_contract_overlap	selectively_forward_port	diagnostics projection contract	log redaction required	not_applicable	redact secrets paths and prompts	queue bounded diagnostics pattern	P13 Execution Inspector	P15.M7	medium	static_evidence_path_line	log redaction rules missing	Only bounded log summaries accepted	Raw log browser is not accepted.
WEB_009	Hermes Web Dashboard	0.19.0	2_products/pepper-agent/web/src/pages/CronPage.tsx:184-313	jobs	web_route	Dashboard cron jobs	/cron	backend_adapter_required	Pepper P14 runtime authority	future scheduled job surface	cron jobs and schedules	create update run delete jobs	none	none	possible script paths	process scheduling	API cron endpoints	approval needed for schedule mutation	none	none	process_control	backend_contract_overlap	backend_adapter_required	governed job scheduler contract	approval and audit required	Pepper approval for job mutation	redact command details as needed	defer cron UI	future jobs surface	P15.M7	high	static_evidence_path_line	job scheduler contract missing	No direct schedule mutation	Cron is runtime control.
WEB_010	Hermes Web Dashboard	0.19.0	2_products/pepper-agent/web/src/pages/SkillsPage.tsx:176-246	skills	web_route	Dashboard skills	/skills	upstream_reference_only	Pepper security authority	future skill catalog projection	skill inventory and metadata	install enable disable possible	none	none	filesystem writes possible	none	API skill endpoints	none	none	none	plugin_or_code_loading	unsafe_capability_overlap	defer_pending_security_review	skill catalog projection contract	capability and provenance review required	not_applicable	redact local paths	defer skill mutation	future skills surface	P15.M7	medium	static_evidence_path_line	skill install security review missing	Read-only inventory may be queued	Mutation remains blocked.
WEB_011	Hermes Web Dashboard	0.19.0	2_products/pepper-agent/web/src/pages/PluginsPage.tsx:368-485	plugins	web_route	Dashboard plugins	/plugins	rejected_authority	Pepper security authority	P13 extension registry	plugin inventory	install update remove enable disable	none	none	filesystem writes possible	code loading possible	API plugin endpoints	none	none	none	plugin_or_code_loading	unsafe_capability_overlap	defer_pending_security_review	plugin capability contract required	provenance sandbox and review required	not_applicable	redact local paths	defer plugin UI	future plugin inventory	P15.M18	deferred	static_evidence_path_line	plugin capability review missing	No plugin installation authority	Direct plugin route authority rejected.
WEB_012	Hermes Web Dashboard	0.19.0	2_products/pepper-agent/web/src/pages/McpPage.tsx:120-249	MCP	web_route	Dashboard MCP	/mcp	backend_adapter_required	Pepper P14 runtime authority	future MCP projection	MCP servers tools and state	add remove configure test login	auth settings possible	provider adjacent interaction	none	MCP process or network control	API MCP endpoints	approval needed for mutation	none	none	plugin_or_code_loading	backend_contract_overlap	defer_pending_runtime_governance	MCP registry and capability contract required	MCP auth and tool review required	Pepper approval for MCP mutation	redact auth values	defer MCP management	future MCP surface	P15.M7	high	static_evidence_path_line	MCP governance missing	Read-only MCP status may be queued	Direct mutation blocked.
WEB_013	Hermes Web Dashboard	0.19.0	2_products/pepper-agent/web/src/pages/ProfilesPage.tsx	profiles	web_route	Dashboard profiles	/profiles	upstream_reference_only	Pepper P15 provider authority	future profile projection	profile names and scopes	profile create edit delete possible	credential references possible	provider configuration possible	filesystem config possible	none	API profile endpoints	none	none	none	credential_interaction	backend_contract_overlap	replace_with_Pepper_owned_implementation	Pepper profile contract required	no local credential writes	not_applicable	redact credential references	replace profile UX with Pepper-owned design	P15 profiles surface	P15.M8	high	static_evidence_path_line	profile authority split	No direct dashboard profile authority	Use only as UX reference.
WEB_014	Hermes Web Dashboard	0.19.0	2_products/pepper-agent/web/src/pages/ConfigPage.tsx:279-306	safe_settings	web_route	Dashboard config	/config	upstream_reference_only	Pepper P13 Safe Settings	P13 Safe Settings	configuration state	configuration writes possible	credential references possible	provider settings possible	filesystem config writes	none	API config endpoints	none	none	none	bounded_state_change	backend_contract_overlap	defer_pending_runtime_governance	settings classification contract required	setting capability gates required	not_applicable	redact secrets	defer unsafe settings	P13 Safe Settings	P15.M8	high	static_evidence_path_line	settings authority classification pending	Only safe preferences may become client-owned	Runtime settings remain backend-governed.
WEB_015	Hermes Web Dashboard	0.19.0	2_products/pepper-agent/web/src/pages/EnvPage.tsx:491-770	credentials	web_route	Dashboard environment keys	/env	upstream_reference_only	Pepper P15 credential authority	future credential status projection	env key names and status	secret entry and key writes	credential entry and storage	provider secrets	none	none	API env endpoints	none	none	none	credential_interaction	authority_conflict	defer_pending_credential_governance	credential status projection only	no secret values in client storage	require approval for credential changes	never reveal secret values	defer credential UI	P15 credential surface	P15.M8	critical	static_evidence_path_line	credential boundary pending	No secret editing imported	Redacted status only later.
WEB_016	Hermes Web Dashboard	0.19.0	2_products/pepper-agent/web/src/pages/SystemPage.tsx:287-305	updates	web_action	Dashboard system lifecycle and update	/system update action	rejected_authority	P15.M17 and P15.M18 updater authority	future update status surface	system status and version	restart update backup import actions	none	none	filesystem backup import possible	process restart possible	API system endpoints	approval needed for update	update execution	deployment adjacent	runtime_control	authority_conflict	reject_authority_conflict	governed update transaction contract required	rollback and signing required	Pepper approval for update apply	redact operational internals	reject direct updater action	future update status surface	P15.M18	critical	static_evidence_path_line	native updater non-authoritative	No native update execution authority	Read-only update status only later.
WEB_017	Hermes Web Dashboard	0.19.0	2_products/pepper-agent/web/src/pages/PairingPage.tsx:54-92	authentication	web_route	Dashboard pairing and auth	/pairing	upstream_reference_only	Pepper P15 credential authority	future device auth projection	pairing status and tokens	pairing creation revocation possible	credential token interaction	none	none	none	API pairing endpoints	approval possible	none	none	credential_interaction	backend_contract_overlap	defer_pending_credential_governance	client token contract required	no token display or storage without authority	Pepper approval for device trust	redact tokens	defer pairing UI	P15 credential surface	P15.M8	high	static_evidence_path_line	client token authority missing	Pairing is reference-only	No live OAuth authorized.
WEB_018	Hermes Web Dashboard	0.19.0	2_products/pepper-agent/web/src/pages/WebhooksPage.tsx:152-242	connection_management	web_route	Dashboard channels and webhooks	/channels and /webhooks	backend_adapter_required	Pepper backend state authority	future integration status surface	channel and webhook config	create update delete integrations	credential tokens possible	provider adjacent integration	none	network receiver config	API integration endpoints	approval needed for public exposure	none	deployment adjacent	deployment_control	backend_contract_overlap	defer_pending_security_review	integration exposure contract required	webhook auth and public URL review required	Pepper approval for exposure	redact tokens and URLs	defer integration management	future integration status	P15.M13	deferred	static_evidence_path_line	remote exposure governance missing	No uncontrolled webhook action	Reference only.
CLI_001	Hermes CLI	0.19.0	2_products/pepper-agent/pyproject.toml:307-310	shell	CLI_command	Hermes CLI entrypoint	hermes	future_client_candidate	Pepper backend API authority	future governed CLI client	command-line invocation and flags	command-specific state writes possible	varies by command	varies by command	varies by command	varies by command	network possible	varies by command	varies by command	varies by command	bounded_state_change	complementary_surface	future_governed_CLI_client	governed API client contract	CLI must not bypass backend policy	Pepper approval API only	redact secrets in output	design governed CLI client	CLI client	P15.M15	medium	static_evidence_path_line	API client contract missing	CLI can be future client only	Direct control plane rejected.
CLI_002	Hermes CLI	0.19.0	2_products/pepper-agent/hermes_cli/_parser.py:99-263	chat	CLI_command	CLI chat and oneshot flags	hermes --oneshot and hermes chat	future_client_candidate	Pepper P14 runtime authority	future governed chat client	prompt and session options	agent run request possible	credential use through backend	provider override flags	session cwd and rules possible	agent process through backend	network provider via backend	approval bypass flags present	none	none	provider_interaction	backend_contract_overlap	future_governed_CLI_client	chat request contract through Pepper backend	no approval bypass outside policy	Pepper approval API required	redact prompts where policy requires	queue CLI chat design	CLI chat client	P15.M15	high	static_evidence_path_line	approval bypass flags require governance	Oneshot cannot bypass Pepper policy	Future API client only.
CLI_003	Hermes CLI	0.19.0	2_products/pepper-agent/hermes_cli/main.py:13391-13445	providers	CLI_subcommand	CLI model fallback and provider selection	hermes model and hermes fallback	future_client_candidate	Pepper P15 provider authority	future provider settings surface	model provider fallback chain	provider config writes possible	credential references possible	provider interaction	none	none	network provider metadata possible	none	none	none	provider_interaction	backend_contract_overlap	defer_pending_provider_governance	provider profile API contract	no direct provider secret writes	not_applicable	redact provider keys	defer provider CLI	P15 provider client	P15.M8	high	static_evidence_path_line	provider authority pending	No direct provider CLI authority	Read-only status later.
CLI_004	Hermes CLI	0.19.0	2_products/pepper-agent/hermes_cli/subcommands/gateway.py:39-120	connection_management	CLI_subcommand	CLI gateway and proxy lifecycle	hermes gateway run/start/stop	future_client_candidate	Pepper P14 runtime authority	future runtime control client	gateway status and lifecycle	start stop replace service	none	none	service config possible	process control	network listener management	approval required for lifecycle	none	deployment adjacent	process_control	backend_contract_overlap	backend_adapter_required	runtime lifecycle contract required	service ownership and profile isolation required	Pepper approval for lifecycle actions	redact service logs	defer gateway controls	P14 runtime control	P15.M7	critical	static_evidence_path_line	runtime lifecycle contract missing	No direct process control	CLI may call governed API later.
CLI_005	Hermes CLI	0.19.0	2_products/pepper-agent/hermes_cli/main.py:13447-13492	credentials	CLI_subcommand	CLI external secret sources	hermes secrets	future_client_candidate	Pepper P15 credential authority	future credential status client	secret source references	secret source configuration	credential manager interaction	provider key interaction possible	config file writes	none	network secret manager possible	approval required for credential source	none	none	credential_interaction	authority_conflict	defer_pending_credential_governance	credential source contract required	no secret value exposure	Pepper approval for credential source changes	never print secret values	defer secrets CLI	P15 credential client	P15.M8	critical	static_evidence_path_line	credential authority pending	No direct credential management	Reference only.
CLI_006	Hermes CLI	0.19.0	2_products/pepper-agent/hermes_cli/main.py:13591-13599	authentication	CLI_subcommand	CLI login logout and setup	hermes login/logout/setup	future_client_candidate	Pepper P15 credential authority	future auth client	auth session status	auth token changes	OAuth or token interaction	none	config writes possible	none	network auth flow possible	approval possible	none	none	credential_interaction	backend_contract_overlap	defer_pending_credential_governance	OAuth and device auth contract required	secure token storage required	Pepper approval for trust changes	redact tokens	defer auth CLI	P15 credential client	P15.M8	high	static_evidence_path_line	OAuth authority pending	No live OAuth authorized	Future API client only.
CLI_007	Hermes CLI	0.19.0	2_products/pepper-agent/hermes_cli/subcommands/plugins.py:14-106	plugins	CLI_subcommand	CLI plugins	hermes plugins install/update/remove/list/enable/disable	future_client_candidate	Pepper security authority	future plugin inventory	plugin inventory and metadata	install update remove enable disable	none	none	filesystem writes	plugin code loading	network Git possible	approval required for install	none	none	plugin_or_code_loading	unsafe_capability_overlap	defer_pending_security_review	plugin lifecycle contract required	provenance sandbox capability review required	Pepper approval for plugin changes	redact local paths	defer plugin CLI	future plugin client	P15.M18	deferred	static_evidence_path_line	plugin security review missing	No plugin installation authority	List-only may be reconsidered.
CLI_008	Hermes CLI	0.19.0	2_products/pepper-agent/hermes_cli/subcommands/skills.py:14-315	skills	CLI_subcommand	CLI skills	hermes skills install/audit/update/publish/list	future_client_candidate	Pepper security authority	future skills inventory	skill metadata and audit data	install update publish possible	none	none	filesystem writes	code or prompt loading	network package source possible	approval required for mutation	none	none	plugin_or_code_loading	unsafe_capability_overlap	defer_pending_security_review	skill catalog contract required	license and provenance review required	Pepper approval for skill changes	redact local paths	defer skills CLI	future skills client	P15.M7	medium	static_evidence_path_line	skill dependency license review pending	No direct skill install	Read-only catalog possible.
CLI_009	Hermes CLI	0.19.0	2_products/pepper-agent/hermes_cli/subcommands/mcp.py:17-126	MCP	CLI_subcommand	CLI MCP	hermes mcp serve/add/remove/list/test/configure/login	future_client_candidate	Pepper P14 runtime authority	future MCP client	MCP server inventory and tools	serve add remove configure login	auth settings possible	provider adjacent interaction	none	MCP process or stdio command	network MCP endpoints	approval required for mutation	none	none	plugin_or_code_loading	backend_contract_overlap	defer_pending_runtime_governance	MCP capability registry contract required	tool auth and stdio containment required	Pepper approval for MCP changes	redact auth values	defer MCP CLI	future MCP client	P15.M7	high	static_evidence_path_line	MCP governance missing	No MCP mutation authority	Read-only status possible.
CLI_010	Hermes CLI	0.19.0	2_products/pepper-agent/hermes_cli/subcommands/cron.py:17-169	jobs	CLI_subcommand	CLI cron and send	hermes cron and hermes send	future_client_candidate	Pepper P14 runtime authority	future job client	job state and platform send metadata	job creation run send actions	credential references possible	provider or platform interaction possible	script paths possible	process scheduling	network messaging possible	approval required for sends and jobs	none	none	process_control	backend_contract_overlap	backend_adapter_required	job and messaging API contract required	platform credential and audit review required	Pepper approval for external sends	redact recipients and content as required	defer job CLI	future jobs client	P15.M15	high	static_evidence_path_line	job and messaging governance missing	No direct runtime or platform send authority	Future client only.
CLI_011	Hermes CLI	0.19.0	2_products/pepper-agent/hermes_cli/main.py:13494-13530	safe_settings	CLI_subcommand	CLI config migration	hermes migrate and config	future_client_candidate	Pepper P13 Safe Settings	P13 Safe Settings	configuration values	configuration rewrites possible	credential references possible	provider settings possible	config filesystem writes	none	none	approval required for migration	none	none	bounded_state_change	backend_contract_overlap	defer_pending_runtime_governance	settings migration contract required	backup and rollback required	Pepper approval for unsafe setting changes	redact secret values	defer config CLI	P13 Safe Settings	P15.M8	medium	static_evidence_path_line	settings classification pending	Only safe preferences can be client-owned	Migration writes need approval.
CLI_012	Hermes CLI	0.19.0	2_products/pepper-agent/hermes_cli/main.py:14060-14337	updates	CLI_subcommand	CLI update and diagnostics	hermes update and doctor	future_client_candidate	P15.M17 and P15.M18 updater authority	future update status client	version health diagnostics	update execution possible	none	none	filesystem update writes	process restart possible	network update source	approval required for update	update execution	none	update_execution	authority_conflict	reject_authority_conflict	governed updater transaction contract required	signed update and rollback required	Pepper approval for update apply	redact diagnostics	reject direct update execution	future update status client	P15.M18	critical	static_evidence_path_line	updater authority not P15.M17/P15.M18 yet	CLI update execution non-authoritative	Doctor status may be read-only later.
TUI_001	Hermes TUI	0.19.0	2_products/pepper-agent/ui-tui/src/entry.tsx:1-151	shell	TUI_view	TUI shell entry	TUI startup	future_client_candidate	Pepper P13 UI authority	future terminal client shell	TTY state and gateway status	TUI local state	none	none	none	gateway spawn attach possible	network gateway connection	none	none	none	process_control	complementary_surface	future_governed_TUI_client	governed gateway attach contract required	no direct spawn outside policy	not_applicable	redact gateway errors	design future TUI client	TUI client	P15.M15	medium	static_evidence_path_line	terminal client governance missing	TUI not canonical UI	Future governed terminal client only.
TUI_002	Hermes TUI	0.19.0	2_products/pepper-agent/ui-tui/src/app/slash/commands/core.ts:87-181	navigation	TUI_action	TUI core slash navigation	/help /status /new /quit	future_client_candidate	Pepper P13 UI authority	future TUI navigation	slash catalog and session status	local session actions	none	none	none	TUI process exit possible	gateway RPC possible	none	update disabled in hosted mode	none	bounded_state_change	complementary_surface	future_governed_TUI_client	TUI command API contract required	keyboard command audit required	not_applicable	redact status details	queue command matrix	TUI client	P15.M15	medium	static_evidence_path_line	TUI command contract missing	Useful command discoverability	Not canonical UI.
TUI_003	Hermes TUI	0.19.0	2_products/pepper-agent/ui-tui/src/components/activeSessionSwitcher.tsx:92-648	sessions	TUI_view	TUI session switcher	Ctrl+X sessions	future_client_candidate	Pepper backend state authority	future session client	sessions and history	selection close delete possible	none	none	none	none	gateway session RPC	none	none	none	bounded_state_change	partial_overlap	future_governed_TUI_client	session projection and mutation contract	session delete audit required	Pepper approval for destructive actions	redact unauthorized transcripts	queue session navigation	TUI sessions	P15.M15	medium	static_evidence_path_line	session mutation contract missing	Read-only session navigation candidate	Destructive actions require approval.
TUI_004	Hermes TUI	0.19.0	2_products/pepper-agent/ui-tui/src/app/overlayStore.ts:5-61	approvals	TUI_action	TUI confirmation and approval overlays	confirm and approvals overlays	future_client_candidate	Pepper_approval_authority	P13 Approval Inbox	approval and confirmation state	approval response possible	none	none	none	none	gateway approval RPC	approval decision possible	none	none	approval_required_state_change	backend_contract_overlap	future_governed_TUI_client	approval API client contract required	client cache non-authoritative	Pepper approval authority only	redact unauthorized operation detail	defer TUI approval action	TUI approval client	P15.M15	high	static_evidence_path_line	approval API contract missing	TUI may be API client only	P13 remains canonical surface.
TUI_005	Hermes TUI	0.19.0	2_products/pepper-agent/ui-tui/src/app/slash/commands/session.ts:79-703	providers	TUI_action	TUI model provider session controls	/model /reasoning /fast /usage	future_client_candidate	Pepper P15 provider authority	future provider client	model and usage state	provider model selection possible	none	provider interaction	none	none	gateway provider RPC	none	none	none	provider_interaction	backend_contract_overlap	defer_pending_provider_governance	provider selector API contract required	no secret exposure	not_applicable	redact provider details	defer model controls	TUI provider client	P15.M8	high	static_evidence_path_line	provider governance pending	Provider model controls not adopted	Usage display can be redacted later.
TUI_006	Hermes TUI	0.19.0	2_products/pepper-agent/ui-tui/src/app/slash/commands/ops.ts:64-145	operations	TUI_action	TUI runtime ops	/stop /reload-mcp /reload	backend_adapter_required	Pepper P14 runtime authority	future runtime client	process MCP env status	stop reload mutate runtime	none	none	none	process stop and reload	gateway RPC	approval required for runtime mutation	none	none	runtime_control	backend_contract_overlap	backend_adapter_required	runtime mutation API contract required	operation audit required	Pepper approval for mutations	redact runtime internals	defer runtime ops	TUI runtime client	P15.M7	critical	static_evidence_path_line	runtime governance missing	No direct runtime controls	Status-only later.
TUI_007	Hermes TUI	0.19.0	2_products/pepper-agent/ui-tui/src/app/slash/commands/core.ts:142-157	updates	TUI_action	TUI update command	/update	future_client_candidate	P15.M17 and P15.M18 updater authority	future update status client	version state	update exit code request	none	none	filesystem update possible	process exit to updater	network update source	approval required for update	update execution	none	update_execution	authority_conflict	reject_authority_conflict	governed updater transaction required	rollback and signing required	Pepper approval for update apply	redact update logs	reject direct TUI update	future update status	P15.M18	critical	static_evidence_path_line	updater authority pending	TUI update execution non-authoritative	Hosted mode disables update.
