record_id	component_scope	source_path	product_path	artifact_type	artifact_sha256	declared_license	license_expression	copyright_or_attribution	primary_classification	included_in_product	notice_required	distribution_posture	canonical_rule	evidence_status	review_status	notes
P15M2-011	plugin_hermes_achievements_license	plugins/hermes-achievements/LICENSE	plugins/hermes-achievements/LICENSE	license_file	5c6bbd852eeff017e73830408977d26e4379c5f9bb6edb03fce171f81db5fe43	MIT	MIT	Copyright (c) 2026 Hermes Achievements contributors	included_permissive	true	true	source_ready_with_notice	P15_M1B_committed_git_blob	complete	ready	Plugin license is preserved in product.
P15M2-012	plugin_hermes_achievements_dashboard_bundle	plugins/hermes-achievements/dashboard/manifest.json;plugins/hermes-achievements/dashboard/dist/**	plugins/hermes-achievements/dashboard/manifest.json;plugins/hermes-achievements/dashboard/dist/**	plugin_bundle_metadata	9043f31295a45493a20ff7f4ef60616d7df2636d02057993497fb72d1b2ce789	MIT_AND_BUNDLED_DEPENDENCIES_UNRESOLVED	MIT_AND_DEPENDENCY_LICENSES_UNRESOLVED	Hermes Achievements contributors	dependency_license_evidence_incomplete	true	true	blocked_pending_review	bundled_asset_notice_review_required	incomplete	blocked_pending_review	Committed dashboard dist files require bundle dependency provenance before public binary or asset distribution.
P15M2-013	plugin_kanban_dashboard_bundle	plugins/kanban/dashboard/manifest.json;plugins/kanban/dashboard/dist/**	plugins/kanban/dashboard/manifest.json;plugins/kanban/dashboard/dist/**	plugin_bundle_metadata	2c037543d30ddee524d6a1bd38cbd2345d01f1c8bf678d4ee464da4074266e1e	root_project_mit_AND_BUNDLED_DEPENDENCIES_UNRESOLVED	MIT_AND_DEPENDENCY_LICENSES_UNRESOLVED	Nous Research	dependency_license_evidence_incomplete	true	true	blocked_pending_review	bundled_asset_notice_review_required	incomplete	blocked_pending_review	Committed kanban dashboard dist files require bundle dependency provenance before public binary or asset distribution.
P15M2-014	plugin_security_guidance_license	plugins/security-guidance/LICENSE	plugins/security-guidance/LICENSE	license_file	cfc7749b96f63bd31c3c42b5c471bf756814053e847c10f3eb003417bc523d30	Apache License 2.0	Apache-2.0	Anthropic patterns and NousResearch plugin port	included_notice_required	true	true	source_ready_with_notice	P15_M1B_committed_git_blob	complete	ready	Apache-2.0 license is included and must not be flattened into MIT.
P15M2-015	plugin_security_guidance_notice	plugins/security-guidance/NOTICE	plugins/security-guidance/NOTICE	notice_file	adc3dd09b90dd9240f56d5b9c782986028a312ab150c84a208de1a5d2b948227	Apache License 2.0	Apache-2.0	Anthropic claude-plugins-official attribution and NOTICE	included_notice_required	true	true	source_ready_with_notice	P15_M1B_committed_git_blob	complete	ready	NOTICE must be preserved in future Pepper notices and distributions.
P15M2-016	skill_humanizer_license	skills/creative/humanizer/LICENSE	skills/creative/humanizer/LICENSE	license_file	4ac4810254ab36d45419141aeb8e69bf50652cfafe5b2dab947d06d44e5cbf96	MIT	MIT	Copyright (c) 2025 Siqi Chen	included_permissive	true	true	source_ready_with_notice	P15_M1B_committed_git_blob	complete	ready	Humanizer skill license is preserved in product.
P15M2-017	skill_gsd_adaptations	skills/software-development/spike/SKILL.md;skills/creative/sketch/SKILL.md	skills/software-development/spike/SKILL.md;skills/creative/sketch/SKILL.md	attribution_evidence	spike:891bc0a6fbb7aa6cb4164e48e2d20aae56aad7bbd83d20d093ba89a8ed2b48ab;sketch:c643ff8657341b39284dbe1c70442b4ac746f5702d8457759376d4165d6879e5	MIT	MIT	Adapted from gsd-build/get-shit-done MIT copyright 2025 Lex Christopherson	included_notice_required	true	true	source_ready_with_notice	inline_attribution_preserved	complete	ready	Inline adapted-work attribution must be preserved.
P15M2-018	optional_skill_pixel_art_attribution	optional-skills/creative/pixel-art/ATTRIBUTION.md	optional-skills/creative/pixel-art/ATTRIBUTION.md	attribution_file	16e33382764250a5da332c3727e2383ae27ea5ddd05c0ef52071cb94d3562c22	MIT	MIT	pixel-art-studio MIT contributors	included_notice_required	true	true	source_ready_with_notice	inline_attribution_preserved	complete	ready	Optional skill attribution file is included and should be referenced by future notices when distributed.
P15M2-019	aaai2026_template_style	skills/research/research-paper-writing/templates/aaai2026/aaai2026.sty	skills/research/research-paper-writing/templates/aaai2026/aaai2026.sty	template_style_file	a39f1866a04dd1e2603613c876fa446aaea2c2f3e34d02be868fd21520bfade5	AAAI submission format terms	custom_restrictive_no_modification	Association for the Advancement of Artificial Intelligence	included_restrictive	true	true	public_redistribution_blocked_pending_review	file_specific_terms_preserved	incomplete	blocked_pending_review	File states the style sheet may not be modified for AAAI publication use and requires legal review before public redistribution claims.
P15M2-020	excluded_powerpoint_license	skills/productivity/powerpoint/LICENSE.txt	not_applicable	excluded_license_file	6f8bd7f4d8ec5cb52b7a59ccb9e8c14c2a4ba529cb5adfc5e0bc676892b8ca79	Anthropic service terms with additional restrictions	custom_restrictive_service_terms	Anthropic PBC all rights reserved	excluded_restrictive	false	not_applicable	remain_excluded	P12_restricted_powerpoint_subtree	complete	blocked	PowerPoint skill license forbids extraction retention derivative works and redistribution outside the applicable Anthropic service agreement.
P15M2-021	excluded_powerpoint_generated_docs	website/docs/user-guide/skills/bundled/productivity/productivity-powerpoint.md;website/i18n/zh-Hans/docusaurus-plugin-content-docs/current/user-guide/skills/bundled/productivity/productivity-powerpoint.md	not_applicable	excluded_generated_docs	8acfa3fcf3c9ceb090608ab155b3311f4b24dfbb859e05017dbbb67eba5268de;49a0576e07ff8927e04cb4fae16fcb59738f9abd852c9b4223e5817554d1f8bd	derived_from_excluded_powerpoint	custom_restrictive_service_terms	Generated docs reproduce restricted skill definition	excluded_generated_cache	false	not_applicable	remain_excluded	P12_restricted_generated_complete_skill_page	complete	blocked	Generated complete PowerPoint skill pages remain excluded with the underlying restricted content.
P15M2-022	import_exclusion_reconciliation	AGENT_PLATFORM_IMPORT_MANIFEST.tsv;AGENT_PLATFORM_EXCLUSIONS.tsv	AGENT_PLATFORM_IMPORT_MANIFEST.tsv;AGENT_PLATFORM_EXCLUSIONS.tsv	governance_metadata	not_applicable	not_applicable	not_applicable	P15.M1B classifications and P15.M1C final identity	not_applicable	not_applicable	not_applicable	governance_ready	P15_M1B_P15_M1C_authority	complete	ready	Included rows are product content; excluded rows are not distributed product content; LF canonicalization does not alter license obligations.
P15M2-023	python_dependency_evidence	pyproject.toml;uv.lock	pyproject.toml;uv.lock	dependency_manifest_and_lock	pyproject:7fc0552a6bfdd8d58632a9164e3432c868fc4d928170f8c8a545421134c5952f;uv.lock:456f76d5396df0f543d1035c2d05173cae1882c290ba585cc926a79958b9d7fe	multiple_dependencies	not_applicable	Python direct and transitive dependencies	dependency_license_evidence_incomplete	true	true	internal_source_ready_public_distribution_blocked_pending_review	no_registry_queries	incomplete	blocked_pending_review	Python evidence has 30 direct dependencies 90 optional dependency entries 233 uv.lock package records and zero uv.lock local license fields.
P15M2-024	node_dependency_evidence	package-lock.json;website/package-lock.json;plugins/platforms/photon/sidecar/package-lock.json;scripts/whatsapp-bridge/package-lock.json	package-lock.json;website/package-lock.json;plugins/platforms/photon/sidecar/package-lock.json;scripts/whatsapp-bridge/package-lock.json	dependency_lockfiles	package-lock.json:4f8657f00e3d7d03217c7338fb6b8da7514fdb4b6637e6a279f27251c3b53dc6;website/package-lock.json:48d7e92ff55640d03e7a783d03f2102d957dc32957f99bce5b604422516fc658;photon:9d72974a52cb890f3152a6a8b2a0c1ae190cdb9ae4ca13335a278c0a99065189;whatsapp:346391bab09f6e264e454d776c4461fc3b112ab1038b76e308b9d2c78d29119d	multiple_dependencies	not_applicable	Node workspace and sidecar dependency graph	dependency_license_evidence_incomplete	true	true	internal_source_ready_public_distribution_blocked_pending_review	no_registry_queries	incomplete	blocked_pending_review	Node evidence has 157 dependency declarations 92 devDependency declarations 3137 package-lock records and 3112 local license fields.
P15M2-025	container_base_images	Dockerfile	Dockerfile	container_metadata	25b3ec8a3726324f0cdfe9a95ad68eacb30d9d0e0b47fe7f884ee57ec0a2df15	multiple_base_images_and_runtime_packages	not_applicable	ghcr.io astral uv node Debian s6-overlay apt packages Playwright downloads	container_distribution_review_required	true	true	blocked_pending_review	container_notice_sbom_review_required	incomplete	blocked_pending_review	Base image obligations SBOM transitive notices runtime downloads and mutable Debian tag require review before public image publication.
P15M2-026	compose_local_images	docker-compose.yml	docker-compose.yml	compose_metadata	cf2cd030fcb516e904a422eb64619164636db3724199c912fa2883f072bcf9ad	local_image_reference	not_applicable	hermes-agent local image reference	container_distribution_review_required	true	true	blocked_pending_review	container_notice_sbom_review_required	incomplete	blocked_pending_review	Compose file references locally built hermes-agent image and does not provide independent base-image license evidence.
P15M2-027	provider_service_terms	plugins/model-providers/**/plugin.yaml;providers/**;acp_adapter/**	plugins/model-providers/**/plugin.yaml;providers/**;acp_adapter/**	service_terms_boundary	not_applicable	external_provider_terms	not_applicable	OpenAI ChatGPT OAuth Nous and other provider services	external_service_terms_separate	true	not_applicable	separate_terms_required	provider_terms_not_source_license	complete	blocked_pending_review	Source licenses do not authorize provider accounts OAuth entitlements model access API quota or external service endpoints.
P15M2-028	public_branding_boundary	acp_registry/agent.json;apps/desktop/package.json;website/docusaurus.config.ts	acp_registry/agent.json;apps/desktop/package.json;website/docusaurus.config.ts	branding_metadata	not_applicable	not_applicable	not_applicable	Hermes Nous Research repository links app identifiers icons and update channels	trademark_or_branding_review_required	true	not_applicable	blocked_pending_trademark_review	branding_authorization_required	complete	blocked_pending_review	Pepper must not present itself as official Hermes or Nous Research without separate branding authorization.
P15M2-029	future_pepper_notice_contract	not_applicable	2_products/pepper-agent/THIRD_PARTY_NOTICES.md	future_notice_contract	not_applicable	not_applicable	not_applicable	Pepper attribution and notice contract	not_applicable	false	true	future_integrated_ticket_required	P15_M2_future_notice_contract	complete	ready_with_constraints	Future product notice must reference preserved license files and be registered in AGENT_PLATFORM_MODIFICATIONS.tsv by a later integrated ticket.
P15M2-030	hermes_workspace_out_of_scope	not_applicable	not_applicable	out_of_scope_marker	not_applicable	not_applicable	not_applicable	Hermes Workspace 2.3.0 remains under P15.M4	not_applicable	false	not_applicable	out_of_scope	P15_M4_authority	complete	ready	P15.M2 does not productize Workspace and records it only as out of scope.
